_id,created_date,name,region,type,superintendent_allowance,higher_officer_allowance,spr_members_1,spr_members_2,other_allowances,normal_scale_1,normal_scale_2,normal_scale_3,climate_allowances,__v
5f55f22b30c84b128cfe481b,2020-09-07T08:35:48.891Z,Hawasa,Sidama,state_city,705,590,202,192,182,null,null,null,null,0
5f5e6d0dcebd174e8ce12bec,2020-09-13T18:54:59.812Z,DireDewa,DireDewa,state_city,685,540,214,171,128,null,null,null,level_2,0
5f77159b83cac3656c80a899,2020-10-02T10:30:32.339Z,Bahirdar,Amhara,state_city,null,null,null,null,null,344,390,462,none,0
5f77933e83cac3656c80a89b,2020-10-02T10:30:32.339Z,Adama,Oromia,state_city,null,null,null,null,null,353,396,459,none,0
5f77939c83cac3656c80a89c,2020-10-02T10:30:32.339Z,Addis Ababa,addis_ababa,state_city,null,null,null,null,null,468,549,724,none,0
5f7d928e75a3f91ff8904281,2020-10-07T09:35:27.072Z,Semera,Afar,state_city,null,null,null,null,null,315,361,413,level_1,0
5f7d92e075a3f91ff8904282,2020-10-07T09:35:27.072Z,Jigjiga,Somalia,state_city,null,null,null,null,null,314,353,404,level_2,0
5fb6545b147321193885bb01,2020-11-19T11:17:47.164Z,Mekele,Tigrai,state_city,null,null,null,null,null,348,395,468,false,0
5fb65626147321193885bb02,2020-11-19T11:25:26.819Z,Asosa,Benshangul,state_city,null,null,null,null,null,328,367,416,false,0
5fb65697147321193885bb03,2020-11-19T11:27:19.078Z,Harari,Harari,state_city,null,null,null,null,null,365,407,465,false,0
5fb65736147321193885bb04,2020-11-19T11:29:58.576Z,Gambela,Gambela,state_city,null,null,null,null,null,327,367,419,false,0
5fb65836147321193885bb05,2020-11-19T11:34:14.813Z,Hawasa,Sidama,state_city,null,null,null,null,null,359,405,477,false,0
5fb65928147321193885bb06,2020-11-19T11:38:16.901Z,false,Tigrai,zone,null,null,null,null,null,279,330,417,false,0
5fb65994147321193885bb07,2020-11-19T11:40:04.454Z,false,Afar,zone,null,null,null,null,null,283,322,385,false,0
5fb659c6147321193885bb08,2020-11-19T11:40:54.159Z,false,Amhara,zone,null,null,null,null,null,277,327,409,false,0
5fb659f3147321193885bb09,2020-11-19T11:41:39.826Z,false,Oromia,zone,null,null,null,null,null,308,348,402,false,0
5fb65a1c147321193885bb0a,2020-11-19T11:42:20.991Z,false,Benshangul,zone,null,null,null,null,null,270,311,366,false,0
5fb65a5e147321193885bb0b,2020-11-19T11:43:26.474Z,false,SPNR,zone,null,null,null,null,null,283,325,383,false,0
5fb65aa6147321193885bb0c,2020-11-19T11:44:38.840Z,false,Gambela,zone,null,null,null,null,null,279,323,387,false,0
5fb65ad7147321193885bb0d,2020-11-19T11:45:27.612Z,false,Somalia,zone,null,null,null,null,null,262,308,378,false,0
5fb65b18147321193885bb0e,2020-11-19T11:46:32.959Z,false,Tigrai,woreda,null,null,null,null,null,267,336,357,false,0
5fb65b53147321193885bb0f,2020-11-19T11:47:31.384Z,false,Afar,woreda,null,null,null,null,null,251,293,353,false,0
5fb65b7e147321193885bb10,2020-11-19T11:48:14.884Z,false,Amhara,woreda,null,null,null,null,null,254,292,340,false,0
5fb65b9f147321193885bb11,2020-11-19T11:48:47.639Z,false,Oromia,woreda,null,null,null,null,null,259,301,363,false,0
5fb65bc0147321193885bb12,2020-11-19T11:49:20.195Z,false,Benshangul,woreda,null,null,null,null,null,231,266,303,false,0
5fb65be4147321193885bb13,2020-11-19T11:49:56.494Z,false,SPNR,woreda,null,null,null,null,null,249,288,339,false,0
5fb65c31147321193885bb14,2020-11-19T11:51:13.646Z,false,Gambela,woreda,null,null,null,null,null,234,274,328,false,0
